卡牌名	能量费用	稀有度	类型	描述	目标	升级		说明	
好斗勇狠	2	蓝	攻击	造成7点伤害2次。下回合获得1费	单个敌人	造成8点伤害2次。下回合获得2费			
株连	1	蓝	攻击	造成6点伤害。对所有流血的敌人再造成6点伤害	单个+特定敌人	造成8点伤害。对所有流血的敌人再造成8点伤害		伪对群	
大出血	1	蓝	攻击	造成4点伤害。额外造成1次等同于该敌人流血层数的伤害	单个敌人	造成6点伤害。额外造成1次等同于该敌人流血层数2倍的伤害			
不避艰险	3	蓝	攻击	造成22点伤害。你每消耗1张苦痛此牌费用减1	单个敌人	造成28点伤害。你每打出1张苦痛此牌费用减1			
恶意	1	蓝	技能	虚无。获得5层原罪。本回合血债不会增加你受到的伤害	自己	获得5层原罪。本回合血债不会增加你受到的伤害			
欺骗	1	蓝	技能	抽3张牌。获得3层原罪	自己	抽4张牌。获得4层原罪			
罪业同担	1	蓝	技能	获得5层原罪。你每有1层血债，给予所有敌人1层虚弱和1层易伤。消耗	所有敌人	获得5层原罪。你每有1层血债，给予所有敌人2层虚弱和2层易伤。消耗			
旧伤复发	1	蓝	技能	给予2层流血。下一回合给予本回合流血层数50%的流血	单个敌人	给予4层流血。下一回合给予本回合流血层数75%的流血			
缔结契约	0	蓝	技能	获得2点能量。将1张苦痛加入手牌	自己	获得3点能量。将1张苦痛加入手牌			
负重	3	蓝	技能	获得18点格挡。你每有1层血债，此牌费用减1	自己	获得22点格挡。你每有1层血债，此牌费用减1			
备战	0	蓝	技能	抽2张牌。本回合保留你的手牌。本场战斗中此牌费用加1	自己	固有。抽2张牌。本回合保留你的手牌。本场战斗中此牌费用加1			
血海	1	蓝	技能	给予5层流血3次。消耗	单个敌人	给予6层流血3次。消耗			
破损盔甲	2	蓝	技能	获得14点格挡。获得2层虚弱	自己	获得16点格挡。获得1层虚弱			
血污	1	蓝	技能	给予4层流血。你每有1层血债，就额外给予1次流血	单个敌人	给予5层流血。你每有1层血债，就额外给予1次流血			
痛苦转移	1	蓝	技能	生成1张苦痛。移除共计2层指定负面效果	自己	生成1张苦痛。移除共计3层指定负面效果		包括：虚弱、脆弱、易伤、血债，按游戏源代码设计，移除顺序取决于游戏中从左到右出现的顺序	
施洗	1	蓝	技能	你每有1层血债就获得1点能量。获得禁制	自己	费用减1		禁制：负面效果，回合结束或血债为0时自动移除。本回合你不能获得能量	
祭奠	0	蓝	技能	若你当前没有血债，获得6点格挡并抽1张牌。获得3层原罪	自己	若你当前没有血债，获得9点格挡并抽1张牌。获得3层原罪			
悲恸祝福	1	蓝	技能	如果你的手牌中有状态牌，抽2张牌。你手中每有1张状态牌就获得4点格挡	自己	如果你的手牌中有状态牌，抽3张牌。你手牌中每有1张状态牌就获得5点格挡			
热血沸腾	1	蓝	技能	消耗手牌中的非攻击牌。每消耗1张牌给予所有敌人5层流血	所有敌人	消耗手牌中的非攻击牌。每消耗1张牌给予所有敌人6层流血			
何以解忧	1	蓝	能力	固有。为所有苦痛添加虚无。向弃牌堆加入2张苦痛	自己	费用减1。固有。为所有苦痛添加虚无。向弃牌堆加入2张苦痛			
血流不止	1	蓝	能力	每回合开始，给予所有敌人3层流血	自己	每回合开始，给予所有敌人6层流血			
恐惧记忆	2	蓝	能力	若本回合获得过血债，敌人造成的伤害降低25%	自己	费用减1		本回合想减伤就要贪原罪/血债，但后续没获得/及时清除血债，过高的血债反而会受到更高伤害	
试炼奖励	1	蓝	能力	获得1点力量和1点敏捷。获得2层虚弱	自己	获得2点力量和2点敏捷。获得2层虚弱			
宿命和解	1	蓝	能力	当你生成或消耗1张苦痛时，获得2点格挡	自己	当你生成或消耗1张苦痛时，获得3点格挡			
血肉模糊	2	蓝	能力	你每给予敌人5层流血。造成6点伤害	自己	你每给予敌人5层流血。造成8点伤害			
救赎之道	1	蓝	能力	你每移除1层血债，抽1张牌	自己	你每移除1层血债，抽2张牌			
血荆棘	1	蓝	能力	敌人每次攻击你时，给予2层流血	自己	敌人每次攻击你时，给予4层流血			
终极审判	0	金	攻击	仅在拥有至少3层血债时打出。对所有敌人造成30点伤害。移除所有原罪和血债	所有敌人	仅在拥有至少3层血债时打出。对所有敌人造成40点伤害。移除所有原罪和血债		静默猎手的华丽收场	
终极苦痛	3	金	攻击	本场战斗你每生成1张苦痛，就对随机敌人造成5点伤害1次	随机敌人	本场战斗你每生成1张苦痛，就对随机敌人造成6点伤害1次		故障机器人的雷霆打击	
搏命手段	1	金	攻击	造成24点伤害。若没有杀死敌人，失去8点生命	单个敌人	造成30点伤害。若没有杀死敌人，失去8点生命		一二层过渡，定位等于燔祭、重锤、玻璃刀刃等	
无休战火	1	金	攻击	造成4点伤害2次。斩杀时，本局游戏的伤害次数永久加1。消耗	单个敌人	造成5点伤害2次。斩杀时，本局游戏的伤害次数永久加1。消耗		所有角色都要有的局外成长或跨局收益	
炽焰	1	金	技能	消耗所有手牌。每消耗1张状态牌抽2张牌。消耗	自己	消耗所有手牌。每消耗1张状态牌抽3张牌。消耗			
灾难蔓延	2	金	技能	给予10层流血。给予所有其他敌人该敌人身上的负面效果。消耗	单个敌人	给予10层流血。给予所有其他敌人该敌人身上的负面效果			
血海深仇	1	金	技能	生成1张苦痛。本回合所有敌人流血额外结算1次（不会叠加）	所有敌人	生成1张苦痛。本回合所有敌人流血额外结算2次（不会叠加）			
坚如磐石	2	金	技能	获得28点格挡。失去2点血量上限	自己	获得36点格挡。失去2点血量上限			
赤子之心	0	金	技能	清除你身上的所有特定负面效果。每清除1层就获得1点能量并抽1张牌。消耗	自己	清除你身上的所有特定负面效果。每清除1层就获得1点能量并抽2张牌。消耗		易伤、虚弱、脆弱、血债。对标祭品、肾上腺素、裂变等启动牌	
 神愤	X	金	技能	下 X 个回合开始时，获得 1 点能量并抽 1 张牌。消耗。	自己	下 X+1个回合开始时，获得 1 点能量并抽 1 张牌。消耗。			
虚空呼唤	0	金	技能	固有。选择抽牌堆的1张牌加入手牌。这张牌获得虚无。消耗	自己	固有。选择抽牌堆的2张牌加入手牌。这2张牌获得虚无。消耗			
行刑者	1	金	能力	每回合你打出的前1张攻击牌会给敌人施加等同于未被格挡伤害的流血	自己	每回合你打出的前2张攻击牌会给敌人施加等同于未被格挡伤害的流血			
罪孽化身	1	金	能力	回合结束时获得2点格挡。回合结束时你每有1层血债额外获得2点格挡	自己	回合结束时获得2点格挡。回合结束时你每有1层血债额外获得3点格挡		扎实的降战损	
过刚易折	1	金	能力	获得3点力量。每回合开始获得1层血债	自己	获得4点力量。每回合开始获得1层血债			
饥渴战意	0	金	能力	每回合开始获得1点能量。获得2层脆弱	自己	固有。每回合开始获得1点能量。获得2层脆弱			
血刑形态	3	金	能力	对生命值低于50%的敌人造成的伤害增加50%	自己	对生命值低于75%的敌人造成的伤害增加50%		所有角色都必须有的高上限3费能力牌，且升级不能减费	
苦痛	1	状态	无	受到1点伤害。抽1张牌。消耗					
纠缠	1	状态	无	每当你抽到此牌时，将1张此牌的复制品加入手牌。消耗					
									
									
遗物名		稀有度	是否专属	描述		备注			
诅咒断剑		初始	是	战斗开始时随机升级1张打击和1张防御。每回合开始获得3点原罪		5点原罪=1点血债			
倒刺钩		普通	是	每当你给予流血时，额外给予1点流血		“金刚杵”或“异蛇头骨”			
狂乱酒杯		罕见	是	当敌人因为流血死亡时，你恢复8点生命					
石像手臂		罕见	是	你对有负面效果的敌人造成的伤害增加25%					
染血戒指		稀有	是	流血不会在你回合结束时全部移除，改为减少15层					
契约印章		稀有	是	在战斗结束时，如果你身上没有任何血债，额外获得15金币。					
复苏护符		稀有	是	你每次失去生命时最多失去15点生命		防乐嘉维林（高进阶）、天罚、心脏等重击意图			
英雄长剑		boss	是	拾起时，升级你牌组的“打击”和“防御”。每回合开始获得3点原罪					
沉重脚镣		boss	是	每回合开始获得1点能量。每场战斗开始将1张“纠缠”加入抽牌堆					
不灭火种		boss	是	回合结束时，消耗你手牌中的状态牌和诅咒牌					
鼓槌		商店	是	你每消耗5张牌，获得1点能量					
圆盾		稀有	否	你每打出3张“防御”，获得1点敏捷					
铁锤		稀有	否	你每打败1名精英敌人，随机升级牌组的1张牌					
黑石提灯		普通	否	本场战斗你第1次对敌人施加负面效果时，获得1点能量					
无愧硬币		罕见	否	进入商店时，获得30金币		“问心无愧了”			
									
									
药水名		稀有度		描述					
神之血		普通		给予1名敌人15点流血					
泪滴		稀有		保留手牌1回合					
复苏之酒		罕见		获得1点能量，抽2张牌					
